period,assumptions,start,end,strategy,n_months,ann_return,ann_vol,sharpe,max_dd
2022,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2022-01-31,2022-12-30,sixty_forty,12,-0.12301333239910084,0.23753225311562245,-0.5178805437391368,-0.23462239235842008
2023-2026,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2023-01-31,2026-06-30,xgb_top5_ew,42,0.3019368119610959,0.24522387937567658,1.231270024476436,-0.20973730252322675
2023-2026,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2023-01-31,2026-06-30,xgb_top30_sw,42,0.404188053317603,0.2786210338656306,1.4506731516635212,-0.26193704006466
2023-2026,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2023-01-31,2026-06-30,xgb_ls,42,0.10528532968923954,0.11771789063854085,0.8943868185042819,-0.10479498846980106
2023-2026,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2023-01-31,2026-06-30,xgb_mv,42,0.25261207966618704,0.1802459558033338,1.4014854232946665,-0.17691329154739677
2023-2026,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2023-01-31,2026-06-30,ridge_top5_ew,42,0.39855331631301016,0.25600266663918625,1.5568326750077834,-0.21884231646006147
2023-2026,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2023-01-31,2026-06-30,rf_top5_ew,42,0.5080320959597733,0.2759209006113141,1.8412236798089863,-0.16650257722454176
2023-2026,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2023-01-31,2026-06-30,mom_top5_ew,42,0.265721223013498,0.2583808363298018,1.0284091761136913,-0.16306409791373389
2023-2026,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2023-01-31,2026-06-30,equal_weight,42,0.2480459969262363,0.12589063629571906,1.9703292017968073,-0.07052735620599293
2023-2026,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2023-01-31,2026-06-30,hist_mv,42,0.25609932562915905,0.1851496997579611,1.3832014092593592,-0.10047954276385485
2023-2026,"one-way costs 15 bps stocks/ETFs, 40 bps crypto; OOS 2020-02-28 to 2026-06-30; data_mode=FULL-public; prices 2016-01-01 to 2026-07-31",2023-01-31,2026-06-30,sixty_forty,42,0.1591311339588648,0.11398381112735687,1.396085394802809,-0.08667529690734821
