,AAPL,AMZN,BTC-USD,ETH-USD,GLD,GOOGL,IEF,JNJ,JPM,LQD,MSFT,NVDA,TLT,XLE,XLF,XLK,XLV,XOM
2022-12-30,2.810448088123454e-17,0.19999999999999976,4.8392498018741794e-17,2.5795668663486982e-17,0.0,6.263352383541311e-17,0.2,0.2,0.0025326324012149588,0.0,0.0,0.1974673675987851,0.19999999999999998,0.0,4.7429428303642315e-17,0.0,0.0,8.706815175555852e-17
2023-01-31,0.0,2.2184287631835548e-16,0.19999999999999993,0.05060909147821152,0.0,0.0,0.135226298864635,4.130405768289419e-16,0.0,0.0,0.0,0.19999999999999993,0.19999999999999993,0.19999999999999957,0.0,0.0,0.0,0.014164609657153444
2023-02-28,1.728857090208523e-16,0.0,0.19999999999999987,0.19999999999999993,0.18020203722159842,0.0,0.0,0.01979796277840139,0.0,0.0,6.571908255670509e-17,0.0,0.19999999999999993,1.4617600499558578e-16,1.520954163031572e-16,3.2908260390995296e-17,0.0,0.19999999999999996
2023-03-31,0.0,0.0,0.19999999999999976,0.17553427205212682,0.15513430215400761,3.666765922465328e-17,8.882162067820338e-17,0.0,0.19999999999999996,0.0,0.0693314257938652,4.4383278251650294e-17,0.2,1.446416747354993e-16,0.0,4.549435499326549e-17,2.822840491403765e-16,0.0
2023-04-28,1.1061090184922345e-18,2.0767167739383162e-17,0.0,0.03421387123174477,0.19999999999999993,4.0104519990452503e-17,0.04421354725737507,6.458945017035568e-17,0.12157258151088018,1.933681182214734e-17,0.19999999999999998,0.0,0.19999999999999996,0.2,1.1252205953545976e-17,1.2834777445588692e-17,0.0,1.201452982501077e-17
2023-05-31,0.0,3.6540238677081714e-17,0.19999999999999968,0.19999999999999968,0.0,0.1999999999999997,1.3657143429328766e-17,0.0,0.0,7.228071300199523e-17,1.3921155894713855e-15,0.1999999999999997,0.19999999999999968,4.925766228770304e-17,0.0,0.0,1.6721193898406445e-18,0.0
2023-06-30,0.19999999999999996,0.14914988172300975,0.19999999999999996,0.0,4.0309311831643073e-17,0.0,0.0,0.0,0.0508501182769905,0.0,6.131701792728464e-18,0.19999999999999973,0.1999999999999999,0.0,0.0,0.0,1.4341514163099848e-17,1.771180654845307e-17
2023-07-31,0.0,2.3643297281888626e-16,3.422337924402726e-18,0.0,0.0,0.19999999999999993,0.06048074664659689,5.691956029270423e-17,0.13951925335340298,0.0,0.19999999999999993,0.19999999999999993,0.19999999999999993,0.0,2.0415081374846297e-17,1.2586162630335465e-17,0.0,0.0
2023-08-31,0.0,4.208702646465932e-18,0.19999999999999993,0.19999999999999993,0.0,0.13992887952432118,0.0,0.19999999999999987,0.1999999999999999,0.0,0.0,0.01040016432794945,0.04967095614772957,7.002731326150763e-17,7.97830723128967e-17,2.0893170675250724e-18,0.0,9.965919892852009e-18
2023-09-29,4.301493419930414e-16,0.18530163049347248,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.01469836950652724,0.2,0.2,0.0,9.659135270540391e-18,0.19999999999999998,3.307998469632306e-17,0.0
