,AAPL,MSFT,AMZN,GOOGL,JPM,JNJ,XOM,NVDA,XLK,XLF,XLE,XLV,GLD,TLT,IEF,LQD,BTC-USD,ETH-USD
2022-01-31,6.586711716801336e-17,0.0,5.986628357167504e-17,0.19999999999999996,7.274875451738544e-17,6.499129610617378e-18,0.19999999999999993,0.19999999999999996,0.0,0.0,0.19999999999999996,0.0,2.9679800222814953e-17,2.1382314310974707e-17,2.2193954059803824e-17,2.885110839413229e-17,0.0,0.19999999999999996
2022-02-28,0.19999999999999993,0.0,2.2887000896365534e-17,0.0,2.0909822859431605e-17,3.173211459864885e-17,0.19999999999999993,0.1999999999999999,0.0,1.2227625195962576e-16,0.19999999999999993,8.837355628814108e-18,9.851920234149532e-17,5.872560616624296e-17,0.0,7.272761477048308e-17,7.20533685048068e-17,0.19999999999999982
2022-03-31,0.19999999999999996,6.644515844268387e-17,0.0,0.0,0.0,0.0,0.19999999999999993,0.19999999999999993,0.0,2.2948976250464523e-17,0.1999999999999999,0.0,2.9837243786801077e-16,4.6344992802952656e-17,0.0,0.0,0.0,0.19999999999999996
2022-04-29,0.1739830638844575,1.8996543183600344e-16,2.0667439389838542e-17,7.141139703316045e-17,7.545449493037219e-18,0.19999999999999976,0.19999999999999987,0.13689474872922083,0.0,0.0,0.19999999999999987,3.890863878230054e-16,0.08912218738632151,3.914308365721043e-17,0.0,6.096655819579765e-18,0.0,3.636732939900678e-17
2022-05-31,0.2,0.0,0.0,0.0,2.261220411847082e-17,0.19999999999999993,0.2,0.05437569049510142,5.171945765718176e-17,0.0,0.2,0.14562430950489844,7.779025756099471e-17,2.791067665840718e-17,7.805292567370947e-17,0.0,0.0,4.155349681315048e-17
2022-06-30,0.0,0.0,0.0,5.2704978572834095e-17,1.1602641850653896e-17,0.1999999999999999,0.19999999999999996,0.0,2.524432568289883e-18,6.845945896670023e-17,0.19999999999999993,0.19999999999999996,0.19999999999999996,4.459439432190944e-17,0.0,3.4309462478723036e-17,9.14226162167054e-18,8.966268566790353e-18
2022-07-29,0.19999999999999982,2.0938187738893457e-16,4.75104930368488e-17,0.0,0.0,0.19999999999999976,0.19999999999999996,1.961566611870917e-17,0.0,0.0,0.19999999999999996,0.0022721550502709433,0.17171044297941293,4.2022251376643346e-17,4.630297115047112e-18,2.209326019364418e-17,5.019016738280039e-17,0.026017401970316215
2022-08-31,0.19999999999999954,1.1094991118519423e-16,1.830828086456673e-17,3.550427350364364e-17,5.158320632491289e-17,0.1999999999999994,0.19999999999999987,0.0,1.506468268954231e-16,3.1837178252501727e-17,0.19999999999999973,0.0,0.19999999999999957,1.0956264887572449e-16,1.2219825029532411e-15,7.541595691305265e-17,0.0,0.0
2022-09-30,0.06926395571767102,0.0,0.0,0.0,0.0,0.2,0.19999999999999996,1.1033723701577271e-17,0.0,5.81761008289954e-17,0.2,0.13073604428232882,0.1999999999999991,3.6298876945477774e-17,1.061881343038967e-15,0.0,0.0,6.89161566020447e-17
2022-10-31,0.0986699357822132,8.668110825035211e-17,0.0,1.994389612483299e-17,0.0,0.19999999999999982,0.20000000000000007,2.371323998807261e-17,0.0,7.341039397416779e-17,0.19999999999999998,0.20000000000000007,0.10133006421778641,7.627085205055988e-17,0.0,2.2822694211768085e-16,3.258932756779576e-17,0.0
2022-11-30,0.0,0.0,6.176345857413459e-18,0.0,1.0900337056921484e-16,0.19999999999999993,0.19999999999999982,7.492239758332998e-17,0.0,6.031240177269955e-19,0.19999999999999993,0.19999999999999993,0.1999999999999999,0.0,2.0990154059319356e-16,0.0,5.340057239488975e-17,5.217744102505428e-17
