,AAPL,AMZN,BTC-USD,ETH-USD,GLD,GOOGL,IEF,JNJ,JPM,LQD,MSFT,NVDA,TLT,XLE,XLF,XLK,XLV,XOM
2021-02-26,0.0,0.0,0.37448106433217715,0.23827301610563145,0.0,0.0513135253270363,0.0,0.0,0.0,0.0,0.0,0.04390095162453972,0.0,0.03440309957628787,0.0,0.0,0.0,0.25762834303432747
2021-03-31,0.0,0.0,0.22870700615937883,0.38714276534025266,0.0,0.0566406504382315,0.0,0.0,0.05783052891350673,0.0,0.0,0.0,0.0,0.08634223395867263,0.0,0.0,0.0,0.18333681518995765
2021-04-30,0.0,0.0,0.4568101118443549,0.36693787906500014,0.0,0.032097962963142344,0.0,0.0,0.0,0.0,0.0,0.03157137528976852,0.0,0.052895322953463435,0.0,0.0,0.0,0.05968734788427068
2021-05-28,0.05291184209796765,0.0,0.3232076164385491,0.3622317960145935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07958422923877881,0.0,0.04010986721680763,0.0,0.0,0.0,0.14195464899330335
2021-06-30,0.0,0.0,0.235509125526804,0.10574984338331063,0.0,0.0,0.0,0.0,0.0,0.0,0.09189389510108231,0.28450689060654116,0.0,0.12854890124689136,0.0,0.0,0.0,0.15379134413537052
2021-07-30,0.0,0.0,0.3858777360267565,0.2640386063245146,0.0,0.0,0.0,0.0,0.06709541827987203,0.0,0.0,0.07612775159574267,0.0,0.10343024388655711,0.0,0.0,0.0,0.10343024388655711
2021-08-31,0.0,0.023096919789483788,0.10774890859384437,0.5470900390763324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2182947138447038,0.0,0.05188470934781785,0.0,0.0,0.0,0.05188470934781785
2021-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2408804457117453,0.0,0.0,0.18031396099462027,0.0,0.110235631192099,0.0,0.06744192788158401,0.06744192788158401,0.3336861063383674
2021-10-29,0.0,0.0,0.19469105562582312,0.5480691253979791,0.0,0.05162804744029268,0.0,0.0,0.0,0.0,0.0,0.07231562342723132,0.0,0.06664807405433688,0.0,0.0,0.0,0.06664807405433688
2021-11-30,0.0,0.0,0.20155895664163093,0.3975492699557124,0.0,0.0,0.0,0.0,0.04782934015210536,0.0,0.0,0.20219293573865527,0.0,0.06673496219828547,0.0,0.0,0.0,0.08413453531361062
2021-12-31,0.0,0.05018041297281877,0.3621078421235245,0.21494636724031618,0.0,0.0,0.0,0.0,0.06624904013282441,0.0,0.06140007174317048,0.2451162657873457,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,0.0,0.07291875998273087,0.24222107527167916,0.3603931201164794,0.0,0.0,0.0,0.0,0.0,0.0,0.05790420968768064,0.20719116475169555,0.0,0.0,0.0,0.0,0.0,0.05937167018973436
2022-02-28,0.1031413519588259,0.0,0.23927478960318646,0.3009651068715229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13995341448723536,0.0,0.11338268757077913,0.0,0.0,0.0,0.1032826495084503
2022-03-31,0.0,0.0,0.1947964018975656,0.24647275880555602,0.0,0.0,0.0,0.0,0.0,0.0,0.13147136451427313,0.1673706092703918,0.0,0.12402790144703837,0.0,0.0,0.0,0.13586096406517506
2022-04-29,0.0,0.15556742090697726,0.19461792548473864,0.22045886316924443,0.12904854721067807,0.0,0.0,0.14111893511897225,0.0,0.0,0.0,0.1591883081093894,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31,0.0,0.08079918893148208,0.14188365092717636,0.4864112426330278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13956897309336372,0.0,0.06658228354574096,0.0,0.0,0.0,0.08475466086920906
2022-06-30,0.0,0.0,0.17771362064281038,0.2835253811142527,0.0,0.0,0.0,0.0,0.1397479017252179,0.0,0.0,0.13545830786406726,0.0,0.0,0.0,0.1367753566854603,0.0,0.12677943196819152
2022-07-29,0.10497883307204148,0.2120733056201789,0.33153886289308193,0.0,0.0,0.0,0.0,0.0,0.12235294979954078,0.0,0.0,0.11177729534486393,0.0,0.0,0.0,0.11727875327029295,0.0,0.0
2022-08-31,0.014568135737220964,0.0,0.9854318642627791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-31,0.0,0.11215924733347346,0.16116193559749792,0.28643265430911014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24127302932849612,0.0,0.10187299168968915,0.0,0.0,0.0,0.0971001417417332
2022-11-30,0.0,0.13610881797726343,0.0,0.0,0.0,0.0,0.0,0.0,0.2221052185151079,0.0,0.0,0.30683617628962795,0.0,0.1293023930673605,0.10459237358659029,0.10105502056404993,0.0,0.0
2022-12-30,0.0,0.4243992620722331,0.0,0.09341770222316088,0.0,0.0,0.0,0.0,0.06600878813462221,0.0,0.0804983068673879,0.25544231280236424,0.0,0.0,0.0,0.08023362790023165,0.0,0.0
2023-01-31,0.0,0.09458597963558224,0.2166258738744399,0.2018515972852296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382996051651808,0.0,0.057598124662196604,0.0,0.0,0.0,0.04634237289074364
2023-02-28,0.0,0.07288707784676361,0.37866961821843753,0.36191491839372225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0485795584195689,0.02649391026974646,0.0,0.0,0.0,0.0,0.11145491685176125
2023-03-31,0.0,0.0,0.8575143001028427,0.1277335457338494,0.0,0.0,0.0,0.0,0.014752154163307904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-28,0.0,0.0,0.0,0.22706964934308205,0.1177342079876957,0.12387145389123291,0.0,0.0,0.12964396470527018,0.0,0.24631107088122284,0.0,0.0,0.15536965319149634,0.0,0.0,0.0,0.0
2023-05-31,0.0,0.0,0.17575112874614013,0.14368657330492052,0.0,0.10775279837277234,0.0,0.0,0.0725787378319,0.0,0.0990743950409088,0.40115636670335825,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-30,0.0990351137143755,0.11813043356137755,0.13286204726915593,0.0928260881531171,0.0,0.0,0.0,0.0,0.0,0.0,0.08834494937667817,0.46880136792529575,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31,0.05840805516474867,0.09252755433264687,0.0,0.0,0.0,0.24059000866027633,0.0,0.0,0.05897781854648002,0.0,0.10029686980970005,0.449199693486148,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-31,0.036927408199805105,0.0,0.35020896459748563,0.262379690656676,0.0,0.09206545164979582,0.0,0.0,0.17657285352576574,0.0,0.0,0.08184563137047171,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-29,0.12086034502388027,0.15033208489157313,0.0,0.0,0.0,0.0,0.0,0.0,0.142440313214092,0.0,0.13820620671713438,0.30977006250037453,0.0,0.0,0.0,0.13839098765294572,0.0,0.0
2023-10-31,0.0,0.1479504934938692,0.2001317375329724,0.1486563530654039,0.0,0.16779846772141732,0.0,0.0,0.0,0.0,0.1450992598383156,0.1903636883480216,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-29,0.19870175999177211,0.1505692273009397,0.0,0.2326526264071922,0.0,0.1685845492666429,0.0,0.0,0.0,0.0,0.14201404121472413,0.0,0.0,0.0,0.0,0.10747779581872896,0.0,0.0
2024-01-31,0.07136193915155914,0.10414873042534764,0.17323058992567833,0.0,0.0,0.10520038172269588,0.0,0.0,0.0,0.0,0.061672984197344724,0.4843853745773743,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-29,0.0,0.06491458659545919,0.2212232427019727,0.25141859440604375,0.0,0.13601383748307946,0.0,0.0,0.0,0.0,0.06034890111863217,0.2660808376948127,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,0.09925548766408021,0.3006308664086592,0.10232149993378273,0.0,0.1135361866089862,0.0,0.0,0.0938138529108798,0.0,0.0,0.29044210647361185,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,0.1116056653744435,0.2764935072979729,0.5763735729083365,0.025974592175794,0.0,0.0,0.0,0.0,0.0,0.009552662243453214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,0.0,0.20982199626358555,0.024056298854298372,0.1579085583140247,0.0,0.14170967314353916,0.0,0.0,0.0,0.0,0.0,0.46650347342455223,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,0.2592487461918051,0.0,0.0,0.20914403638122137,0.0,0.10887548741018448,0.13798473244067466,0.0,0.0,0.0,0.0,0.0,0.17082090788749285,0.0,0.0,0.1139260896886215,0.0,0.0
2024-07-31,0.17755768232636696,0.1701362519492273,0.0,0.33185651463771104,0.10448520810617488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09928878676098468,0.0,0.0,0.0,0.0,0.11667555621953515
2024-08-30,0.15016676575990667,0.13820315256881055,0.0,0.0,0.0,0.0,0.0,0.0,0.1982892653351428,0.0,0.0,0.1348822712020992,0.2070892027063962,0.0,0.1713693424276446,0.0,0.0,0.0
2024-09-30,0.0,0.11263417864716137,0.21134658776062556,0.23808369212343466,0.0,0.1589051770239229,0.0,0.0,0.0,0.0,0.0,0.17915890930556655,0.0,0.0,0.0,0.09987145513928897,0.0,0.0
2024-10-31,0.0,0.1428183451011055,0.14555376391632963,0.19734255624906533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32354416713754947,0.0,0.0,0.0,0.0,0.09439664471890205,0.09634452287704799
2024-11-29,0.0,0.09243671389120878,0.2819409385648152,0.18795115427804995,0.0,0.0,0.0,0.0,0.13587709988199767,0.0,0.0,0.24395076071459673,0.0,0.0,0.05784333266933164,0.0,0.0,0.0
2024-12-31,0.0,0.06982042292594176,0.29262573835110867,0.29303678864683597,0.0,0.07019700947530574,0.0,0.0,0.09381744247278573,0.0,0.0,0.18050259812802213,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-31,0.0,0.1417368665551982,0.18047984940507814,0.39024647227339426,0.0,0.07957744025549549,0.0,0.0,0.13264901249322467,0.0,0.0,0.0,0.0,0.07531035901760928,0.0,0.0,0.0,0.0
2025-02-28,0.0,0.1625565822845737,0.0,0.0,0.10188007140822498,0.16625505341445032,0.0,0.0,0.1478254555874957,0.0,0.09287258309664623,0.32861025420860906,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,0.14527458272792776,0.1089878947226056,0.3056260021847124,0.1688136134564877,0.0,0.1089878947226056,0.0,0.0,0.0,0.0,0.0,0.16231001218566088,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-30,0.0,0.13766211847580015,0.4339988500465429,0.25003071430610774,0.0,0.05065188228438639,0.0,0.0,0.07447873058938216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053177704297780626
2025-05-30,0.1474065518669888,0.1603544713639389,0.1618052425591442,0.23337940814979863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16181019656304257,0.0,0.0,0.0,0.1352441294970869,0.0,0.0
2025-06-30,0.0,0.0,0.26427997105402834,0.1532535013382575,0.0,0.0,0.0,0.0,0.07739488410257625,0.0,0.2182454551807787,0.21848252199738008,0.0,0.0,0.0,0.0,0.0,0.06834366632697912
